ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10299,14057,4,26,0.0
10299,14057,5,3,33.33333333333333
10299,14057,7,1,100.0
10299,14057,8,2,0.0
10299,14057,9,28,7.142857142857142
10299,14107,22,29,6.896551724137931
10299,14107,23,1,100.0
10299,14679,11,1,0.0
10299,14709,5,26,0.0
10299,14709,15,15,0.0
10299,14709,16,3,100.0
10299,14747,0,66,1.5151515151515151
10299,14747,1,57,7.017543859649122
10299,14747,2,35,5.714285714285714
10299,14747,3,1,100.0
10299,14747,4,2,100.0
10299,14747,5,22,0.0
10299,14747,6,35,25.71428571428571
10299,14747,7,26,0.0
10299,14747,8,29,3.4482758620689653
10299,14747,9,29,0.0
10299,14747,10,46,8.695652173913043
10299,14747,11,37,2.7027027027027026
10299,14747,12,13,30.76923076923077
10299,14747,13,24,25.0
10299,14747,14,66,13.636363636363635
10299,14747,15,19,36.84210526315789
10299,14747,16,53,24.528301886792452
10299,14747,17,52,19.230769230769234
10299,14747,18,6,66.66666666666666
10299,14747,19,2,100.0
10299,14747,20,2,100.0
10299,14747,23,1,100.0
10299,14771,12,23,4.3478260869565215
10299,14771,13,6,83.33333333333334
10299,14771,14,16,6.25
10299,14771,15,3,33.33333333333333
10299,14771,16,6,16.666666666666664
10299,14771,17,1,100.0
10299,14869,0,8,0.0
10299,14869,23,1,0.0
10333,11433,10,2,0.0
10333,11433,13,22,0.0
10333,11433,14,6,0.0
10333,11433,17,23,0.0
10372,10397,7,29,3.4482758620689653
10372,10397,8,1,100.0
10372,11292,7,29,10.344827586206897
10372,11292,8,24,4.166666666666666
10372,11292,9,6,0.0
10372,11292,10,17,5.88235294117647
10372,11292,11,27,3.7037037037037033
10372,11292,12,4,25.0
10372,11292,13,30,16.666666666666664
10372,11292,14,22,18.181818181818183
10372,11292,15,22,40.909090909090914
10372,11292,16,5,100.0
10372,11292,17,10,70.0
10372,11292,18,24,25.0
10372,11292,19,4,100.0
10372,11292,20,1,100.0
10372,11292,21,1,100.0
10372,11298,10,25,4.0
10372,11298,11,4,0.0
10372,11298,12,22,13.636363636363635
10372,11298,13,3,100.0
10372,11298,14,2,50.0
10372,11298,15,1,100.0
10372,11298,16,19,21.052631578947366
10372,11298,17,7,100.0
10372,11298,18,4,100.0
10372,12266,13,25,12.0
10372,12266,14,2,50.0
10372,12266,15,2,100.0
10372,12266,16,1,100.0
10372,12892,7,3,0.0
10372,12892,8,21,14.285714285714285
10372,12892,10,7,14.285714285714285
10372,12892,11,16,6.25
10372,12892,12,13,38.46153846153847
10372,12892,13,1,100.0
10372,12892,19,1,0.0
10372,13930,8,17,5.88235294117647
10372,13930,9,12,16.666666666666664
10372,13930,10,1,100.0
10372,13930,11,2,0.0
10372,13930,12,47,14.893617021276595
10372,13930,13,4,100.0
10372,13930,14,2,100.0
10372,13930,15,3,100.0
10372,13930,16,2,100.0
10372,14771,6,3,0.0
10372,14771,7,21,9.523809523809524
10397,10140,8,6,0.0
10397,10140,9,11,0.0
10397,10140,11,13,7.6923076923076925
10397,10140,12,2,0.0
10397,10140,13,14,0.0
10397,10140,14,1,100.0
10397,10140,21,29,27.586206896551722
10397,10140,22,1,100.0
10397,10146,10,25,4.0
10397,10146,11,2,100.0
10397,10146,16,8,0.0
10397,10146,17,1,100.0
10397,10146,19,9,0.0
10397,10208,6,1,100.0
10397,10208,8,2,0.0
10397,10208,9,14,7.142857142857142
10397,10208,10,6,50.0
10397,10208,12,28,0.0
10397,10208,13,2,100.0
10397,10208,18,11,0.0
10397,10208,19,6,50.0
10397,10208,22,6,0.0
10397,10208,23,2,50.0
10397,10257,8,18,0.0
10397,10257,9,3,0.0
10397,10257,10,7,14.285714285714285
10397,10257,11,2,0.0
10397,10257,15,15,0.0
10397,10257,16,7,85.71428571428571
10397,10257,21,27,14.814814814814813
10397,10257,22,2,100.0
10397,10257,23,1,100.0
10397,10299,15,10,10.0
10397,10372,9,27,7.4074074074074066
10397,10372,10,2,50.0
10397,10372,11,1,100.0
10397,10408,21,29,10.344827586206897
10397,10408,23,1,100.0
10397,10423,0,3,100.0
10397,10423,8,29,3.4482758620689653
10397,10423,9,33,9.090909090909092
10397,10423,10,46,6.521739130434782
10397,10423,11,12,16.666666666666664
10397,10423,12,29,3.4482758620689653
10397,10423,13,19,5.263157894736842
10397,10423,14,36,5.555555555555555
10397,10423,15,42,19.047619047619047
10397,10423,16,9,55.55555555555556
10397,10423,17,31,12.903225806451612
10397,10423,18,25,28.000000000000004
10397,10423,19,23,8.695652173913043
10397,10423,20,6,33.33333333333333
10397,10423,21,10,20.0
10397,10423,22,28,10.714285714285714
10397,10423,23,4,50.0
10397,10431,8,25,0.0
